id,puntaje,gpa,edad,asistencia,genero,estrato
608,61.12,2.66,20,76.4,Femenino,3
609,34.25,1.43,16,62.0,Masculino,2
610,31.91,1.2,24,76.2,Masculino,1
611,59.2,2.26,18,76.4,Masculino,4
612,22.29,0.62,21,64.9,Femenino,2
613,56.73,2.67,23,88.7,Femenino,2
614,45.25,1.83,22,73.4,Masculino,3
615,63.71,2.44,22,83.7,Femenino,4
616,57.01,2.48,22,79.4,Masculino,3
617,70.69,2.77,18,84.1,Femenino,6
618,42.31,1.54,18,84.7,Femenino,3
619,61.8,2.14,24,99.0,Femenino,1
620,34.19,1.64,22,80.1,Femenino,2
621,41.93,1.96,21,57.0,Masculino,3
622,49.75,1.71,17,81.2,Masculino,3
623,75.64,3.23,23,68.6,Masculino,2
624,43.63,1.37,16,65.8,Masculino,3
625,40.84,1.84,20,38.8,Masculino,2
626,100.0,4.0,22,73.6,Femenino,5
627,31.69,1.16,20,81.2,Masculino,5
628,33.97,1.37,24,80.6,Femenino,4
629,59.08,2.66,16,65.6,Femenino,4
630,51.25,1.88,18,71.0,Femenino,3
631,69.05,3.28,22,77.3,Masculino,2
632,44.29,2.07,16,69.6,Masculino,1
633,64.81,2.4,22,97.8,Masculino,4
634,56.52,2.29,23,70.8,Masculino,1
635,48.25,1.83,23,81.2,Femenino,2
636,45.05,1.94,23,77.8,No binario,3
637,71.67,2.74,19,83.5,Masculino,4
638,67.2,2.71,24,69.3,Masculino,6
639,45.67,2.25,17,66.8,Femenino,2
640,53.97,2.01,20,78.9,Masculino,1
641,68.46,2.99,20,71.7,Femenino,2
642,40.87,1.32,17,84.3,Masculino,1
643,81.88,3.55,24,79.2,Masculino,3
644,78.3,3.07,19,72.5,Femenino,3
645,53.26,2.03,24,80.2,Femenino,1
646,71.79,2.74,21,64.5,Masculino,6
647,56.69,2.24,24,78.5,Masculino,6
648,59.81,2.87,21,78.5,Masculino,4
649,66.56,2.78,23,69.7,Femenino,6
650,79.43,3.01,24,71.2,Masculino,5
651,53.34,2.24,16,97.1,Femenino,2
652,46.36,1.63,19,81.9,Masculino,3
653,53.09,2.34,21,75.3,Femenino,1
654,49.79,2.26,21,74.7,Masculino,3
655,42.51,1.66,23,85.4,Masculino,1
656,68.61,2.7,18,64.5,Femenino,2
657,71.44,3.05,17,85.7,Masculino,3
658,74.36,2.73,18,79.3,Femenino,6
659,47.18,1.93,16,78.6,Femenino,2
660,40.59,1.78,22,87.2,Femenino,4
661,32.65,1.13,20,65.6,Femenino,3
662,50.89,2.0,22,50.6,Masculino,4
663,49.88,1.87,21,73.7,Masculino,3
664,38.37,1.32,17,53.2,Masculino,1
665,47.94,2.05,19,71.5,Masculino,6
666,54.3,1.84,17,74.1,Masculino,3
667,68.71,2.63,22,68.8,Femenino,3
668,28.47,0.92,16,76.4,Masculino,1
669,51.62,1.9,17,69.0,Femenino,3
670,54.48,2.32,20,76.6,Masculino,1
671,79.42,3.24,17,81.4,Femenino,4
672,70.45,2.95,18,76.7,Masculino,4
673,58.82,2.68,18,79.0,Femenino,4
674,38.15,1.67,22,64.3,Femenino,1
675,56.46,2.31,17,87.6,Femenino,3
676,77.62,3.45,21,77.2,Femenino,4
677,29.17,1.26,23,69.8,Femenino,5
678,44.95,1.99,19,70.9,Masculino,1
679,69.04,3.04,24,72.1,Femenino,3
680,50.94,2.06,19,59.1,Masculino,1
681,62.71,2.5,23,78.9,Femenino,4
682,53.65,2.4,22,83.2,Masculino,1
683,43.59,1.53,17,87.1,Masculino,3
684,61.24,2.13,22,81.9,Femenino,2
685,62.11,2.57,20,81.3,Femenino,6
686,51.93,2.13,22,65.4,Femenino,1
687,52.5,2.37,20,76.2,Femenino,6
688,57.3,2.13,22,92.1,Masculino,1
689,40.72,1.62,18,72.9,Masculino,2
690,54.12,2.25,23,69.0,Masculino,3
691,55.19,2.3,17,70.2,Masculino,1
692,55.64,2.09,16,68.8,Femenino,4
693,61.14,2.91,21,100.0,Masculino,1
694,54.72,2.0,16,87.3,Masculino,4
695,53.6,2.24,21,70.2,Masculino,3
696,27.02,1.03,23,69.3,No binario,1
697,31.55,1.19,17,73.4,Masculino,1
698,46.69,1.99,24,87.6,Masculino,1
699,57.81,1.98,16,79.3,Masculino,6
700,65.37,2.52,17,76.5,Femenino,5
701,52.85,2.45,23,72.9,Femenino,1
702,67.74,2.38,16,71.2,Masculino,2
703,54.22,2.32,21,58.3,Femenino,1
704,63.41,2.38,21,77.5,Femenino,3
705,57.23,2.64,20,71.7,Masculino,2
706,57.74,2.42,20,82.8,Femenino,3
707,41.75,1.7,17,71.0,Femenino,2
708,56.06,2.07,23,63.7,Masculino,5
709,53.53,2.14,18,53.5,Femenino,5
710,25.4,1.1,23,58.4,Masculino,1
711,38.76,1.84,19,75.3,Femenino,2
712,62.26,2.44,22,53.9,Masculino,3
713,59.65,2.49,23,66.4,Masculino,3
714,53.63,1.83,19,80.1,Masculino,4
715,52.01,2.19,20,64.3,Masculino,3
716,37.05,1.73,20,63.3,No binario,1
717,53.31,2.18,21,69.5,Femenino,1
718,55.98,2.26,16,79.1,Femenino,3
719,60.22,2.29,20,74.2,Masculino,4
720,56.36,2.36,24,69.1,Masculino,3
721,57.5,2.14,18,80.8,Femenino,2
722,41.32,1.7,17,79.9,Femenino,3
723,44.18,1.93,18,72.4,Femenino,3
724,54.92,1.72,23,85.9,Masculino,2
725,70.23,2.71,17,74.1,Femenino,3
726,33.88,1.19,17,78.6,Femenino,2
727,51.28,1.92,16,62.8,Masculino,1
728,58.59,2.29,16,90.7,Femenino,4
729,54.07,2.36,16,80.2,No binario,2
730,68.62,2.88,22,74.2,Femenino,5
731,45.73,1.82,18,83.2,Femenino,1
732,43.43,1.91,19,69.7,Masculino,2
733,62.76,2.12,18,75.5,Masculino,6
734,60.23,2.17,17,80.6,Masculino,1
735,58.09,2.38,17,84.3,Masculino,5
736,47.09,2.05,19,90.1,Masculino,1
737,67.95,2.74,17,84.0,Femenino,3
738,54.44,1.8,23,63.7,Femenino,4
739,45.34,1.42,23,60.3,Masculino,2
740,42.71,2.06,23,60.5,Masculino,1
741,62.32,2.57,17,69.9,Masculino,2
742,44.79,1.67,24,63.6,Femenino,2
743,52.1,2.22,18,85.7,Femenino,4
744,37.07,1.44,18,63.4,Femenino,5
745,65.39,2.99,16,91.0,Masculino,2
746,60.76,2.04,22,67.2,Femenino,4
747,65.92,2.32,22,76.2,Femenino,2
748,57.99,2.36,18,58.7,Masculino,2
749,30.11,1.04,19,86.8,Masculino,2
750,35.37,1.4,22,75.2,Femenino,3
751,48.6,1.93,23,81.2,Masculino,1
752,63.32,2.24,20,96.9,Femenino,2
753,80.41,3.06,18,84.7,Femenino,5
754,44.09,1.38,23,82.6,Masculino,2
755,71.32,2.72,24,77.8,Masculino,4
756,46.21,1.97,21,88.6,Femenino,2
757,55.5,2.32,24,76.7,Masculino,2
758,47.86,1.94,23,79.3,Femenino,3
759,50.34,1.86,24,73.4,Masculino,6
760,58.08,2.56,21,59.2,Femenino,3
761,51.51,2.25,16,57.3,Femenino,1
762,33.16,1.32,23,70.1,Masculino,1
763,57.34,2.35,18,74.6,Femenino,3
764,83.99,3.39,20,66.5,Masculino,6
765,73.5,2.99,21,66.3,No binario,3
766,40.2,1.4,17,64.5,Femenino,4
767,34.5,1.07,16,87.0,Masculino,3
768,66.4,2.81,23,73.5,Femenino,1
769,50.86,2.57,20,62.6,Femenino,4
770,42.73,1.49,23,62.3,Masculino,1
771,40.18,1.81,16,75.5,Masculino,5
772,77.1,3.04,19,68.5,Femenino,3
773,53.68,2.03,20,66.6,Femenino,2
774,38.25,1.37,21,58.3,Femenino,4
775,64.91,2.66,20,74.1,Masculino,2
776,60.19,2.44,18,54.3,Masculino,6
777,33.73,1.73,23,86.7,Masculino,1
778,50.71,2.31,17,71.5,Femenino,2
779,32.33,1.48,19,68.8,Femenino,3
780,61.17,2.47,23,81.4,Masculino,5
781,67.71,2.59,21,72.5,Masculino,4
782,56.25,2.41,23,61.8,Masculino,1
783,64.62,2.56,22,77.1,Masculino,4
784,55.2,2.28,19,72.4,Masculino,2
785,61.51,2.36,22,74.9,Femenino,4
786,43.09,1.74,22,63.1,Masculino,1
787,48.67,2.34,19,75.8,Masculino,1
788,58.37,2.26,24,74.8,Masculino,3
789,50.79,2.26,16,74.8,Masculino,4
790,43.94,1.71,17,73.7,Femenino,5
791,60.45,2.28,24,74.6,Femenino,3
792,49.46,2.2,18,82.0,Femenino,1
793,55.6,2.26,24,77.3,Femenino,3
794,42.97,1.64,20,84.2,Femenino,2
795,40.91,1.62,21,56.6,Masculino,4
796,64.33,2.59,16,79.6,Masculino,3
797,30.77,1.1,20,78.7,Masculino,5
798,55.59,2.38,20,81.8,Femenino,3
799,44.31,1.76,16,64.0,Masculino,4
800,45.26,1.73,17,64.0,No binario,2
801,40.79,1.51,22,66.2,Masculino,5
802,50.11,2.29,22,61.3,Femenino,2
803,57.1,2.44,19,70.8,Femenino,4
804,75.66,2.76,16,90.9,Masculino,3
805,39.61,1.54,24,67.0,Femenino,6
806,43.28,1.7,20,79.7,Masculino,2
807,51.29,2.38,20,80.5,Masculino,4
808,49.37,1.76,19,69.8,Masculino,2
809,41.87,1.7,17,73.3,Femenino,4
810,53.55,2.36,19,67.4,No binario,1
811,65.35,2.37,22,71.6,Masculino,1
812,54.22,2.01,23,100.0,Femenino,5
813,50.46,1.76,19,92.5,Femenino,4
814,68.18,2.79,19,60.3,Femenino,1
815,51.65,2.0,20,75.7,Femenino,6
816,53.86,2.45,21,51.0,Masculino,1
817,41.56,1.75,16,77.0,Masculino,2
818,63.07,2.55,18,65.3,Femenino,3
819,50.02,2.19,16,80.1,Femenino,1
820,77.99,3.39,23,73.0,Masculino,2
821,43.57,1.7,24,85.8,Masculino,5
822,43.45,1.57,20,66.2,Femenino,3
823,28.53,0.8,21,67.8,Femenino,2
824,28.4,1.09,23,87.4,Femenino,1
825,51.36,1.98,22,89.6,Masculino,5
826,54.99,2.16,17,74.9,Femenino,3
827,56.63,2.38,17,82.1,Femenino,2
828,60.28,2.4,20,67.6,Femenino,4
829,45.43,2.19,23,67.6,Masculino,1
830,49.0,1.85,21,68.6,Femenino,2
831,50.23,2.09,16,100.0,Masculino,3
832,46.6,1.95,23,75.3,Femenino,2
833,42.47,1.71,22,70.5,Femenino,4
834,63.06,2.62,16,57.3,Masculino,5
835,48.23,2.1,24,94.4,Masculino,2
836,58.44,2.33,19,77.8,Femenino,2
837,39.13,1.47,22,80.9,Femenino,3
838,54.47,2.32,23,58.3,Femenino,4
839,36.68,1.55,20,85.6,Masculino,1
840,38.9,1.43,24,72.7,Femenino,3
841,32.67,1.37,19,68.9,Femenino,2
842,66.55,2.56,16,81.6,Masculino,3
843,54.54,2.09,22,90.2,Masculino,3
844,35.11,1.31,16,81.9,Femenino,4
845,45.39,1.66,21,72.9,Masculino,3
846,40.26,1.44,19,83.1,Masculino,2
847,59.09,2.2,16,67.2,Masculino,3
848,49.92,2.24,16,73.7,Femenino,4
849,51.84,2.2,19,61.9,Femenino,4
850,46.91,1.61,24,92.4,Masculino,1
851,76.69,3.12,22,71.3,Femenino,3
852,52.25,2.01,20,61.3,Masculino,3
853,57.62,2.08,23,78.7,Femenino,3
854,68.95,2.9,24,86.5,Masculino,3
855,52.7,2.27,17,65.3,Masculino,3
856,49.75,1.81,23,71.4,Masculino,2
857,39.73,1.62,21,72.1,Masculino,5
858,44.71,1.83,21,88.2,Femenino,4
859,98.72,3.93,22,69.6,Femenino,3
860,50.96,1.91,24,100.0,Masculino,5
861,43.67,1.5,21,81.4,Femenino,3
862,41.26,1.44,18,86.0,Masculino,3
863,66.23,2.36,18,65.3,Femenino,2
864,42.76,1.34,20,77.8,Femenino,1
865,59.86,2.17,22,65.2,Femenino,5
866,47.66,1.63,24,75.9,Femenino,3
867,61.25,2.12,20,63.4,Masculino,4
868,62.07,2.5,16,82.9,Femenino,4
869,62.37,2.6,22,65.7,Masculino,3
870,34.26,1.38,21,87.0,Femenino,2
871,76.79,2.62,16,64.1,Masculino,6
872,81.41,3.14,18,76.5,Masculino,2
873,38.6,1.48,23,82.8,Masculino,3
874,40.34,1.46,18,72.4,Femenino,1
875,74.18,2.94,24,76.9,Masculino,5
876,58.73,2.39,23,87.3,Masculino,4
877,60.68,2.05,18,73.2,Femenino,2
878,70.67,2.75,16,83.3,No binario,3
879,34.52,1.65,22,54.3,Femenino,2
880,57.05,2.19,16,80.6,Femenino,4
881,71.25,3.14,24,88.3,Masculino,5
882,51.43,2.05,17,70.6,Femenino,1
883,45.34,1.8,24,60.5,Masculino,1
884,59.0,2.43,16,95.9,Masculino,3
885,62.68,2.76,23,60.7,Masculino,1
886,60.6,2.49,21,60.2,Masculino,2
887,80.07,2.95,17,74.5,Masculino,5
888,63.52,2.08,19,79.8,Femenino,3
889,47.49,1.85,19,89.3,Femenino,2
890,40.71,1.72,16,73.4,Masculino,3
891,67.47,2.73,21,78.0,Femenino,2
892,70.74,2.84,21,81.9,Femenino,6
893,46.32,1.72,21,81.3,Masculino,1
894,42.98,1.5,17,81.3,Masculino,2
895,52.03,2.34,24,76.6,Femenino,2
896,44.54,1.84,22,78.2,Femenino,3
897,42.36,1.62,22,79.2,Masculino,1
898,63.48,2.7,20,65.0,Femenino,3
899,50.11,2.11,18,74.4,Masculino,5
900,44.8,1.94,21,83.6,Masculino,2
901,69.79,2.77,18,61.3,Masculino,3
902,59.69,2.54,19,61.9,Masculino,5
903,68.26,2.62,19,73.8,Femenino,1
904,57.27,2.54,23,70.4,No binario,4
905,44.11,2.0,20,86.2,Femenino,3
906,63.08,2.31,22,75.2,Femenino,3
907,55.06,2.09,24,73.1,Masculino,3
908,55.53,2.24,17,63.0,Masculino,2
909,67.31,2.55,21,57.0,Masculino,3
910,69.72,2.69,21,63.9,Masculino,3
911,82.81,3.21,24,76.8,Femenino,3
912,72.34,3.18,22,88.9,Masculino,4
913,35.94,1.33,24,89.4,Masculino,1
914,39.02,1.52,20,65.9,Femenino,2
915,62.09,2.4,21,70.6,No binario,2
916,44.71,1.87,20,77.9,Masculino,4
917,44.41,1.7,24,71.7,Femenino,5
918,53.89,1.7,16,86.7,Masculino,5
919,42.49,1.74,17,82.4,Masculino,1
920,57.1,2.2,17,71.5,Femenino,3
921,52.28,2.64,16,89.1,Masculino,2
922,35.25,1.33,18,64.0,Femenino,2
923,60.66,2.33,19,77.8,Masculino,2
924,29.54,1.37,24,51.6,Femenino,2
925,57.25,2.61,22,81.0,No binario,1
926,35.89,1.82,17,56.0,Masculino,1
927,62.67,2.31,23,78.6,Masculino,4
928,38.64,1.46,20,55.9,Femenino,3
929,54.17,2.27,22,87.7,Masculino,3
930,12.74,0.66,17,75.1,Masculino,1
931,45.46,1.92,24,64.0,Femenino,1
932,51.47,1.93,16,80.3,Femenino,2
933,43.75,1.73,24,67.1,Masculino,1
934,89.82,3.73,19,50.4,Femenino,6
935,54.52,2.13,17,76.6,No binario,3
936,41.78,1.58,17,85.5,Masculino,2
937,58.02,2.34,22,73.2,Masculino,2
938,71.75,2.99,17,88.7,Masculino,3
939,42.53,1.67,18,81.7,Masculino,2
940,44.28,1.62,20,84.8,Masculino,6
941,55.93,2.18,22,81.2,Femenino,2
942,52.57,2.06,20,82.5,Masculino,3
943,57.27,2.3,21,68.9,Femenino,3
944,58.51,2.23,17,75.2,Femenino,3
945,47.03,1.84,19,82.8,Femenino,4
946,34.58,1.29,22,73.0,Masculino,4
947,75.05,3.07,16,75.2,Masculino,2
948,34.25,1.12,19,63.8,Femenino,1
949,45.1,1.67,24,83.7,Masculino,1
950,57.53,2.46,17,87.5,Masculino,2
951,37.27,1.04,21,61.0,Masculino,1
952,49.57,2.01,22,64.4,Femenino,2
953,53.71,2.17,20,95.9,Femenino,1
954,40.44,1.3,21,65.1,Masculino,5
955,56.7,2.28,21,85.4,Masculino,2
956,42.88,1.29,17,81.1,Femenino,2
957,66.38,3.13,17,96.8,Masculino,4
958,35.42,1.71,18,76.6,Masculino,1
959,41.76,1.95,18,73.3,Masculino,3
960,66.63,2.58,23,63.8,Femenino,6
961,46.9,2.01,17,76.3,Masculino,1
962,64.66,2.89,19,86.7,Femenino,2
963,36.82,1.59,20,73.9,Masculino,4
964,66.85,2.87,20,85.5,Masculino,4
965,54.94,2.39,21,82.3,Femenino,1
966,49.34,2.0,24,86.4,Femenino,4
967,40.16,1.67,22,56.9,Masculino,1
968,60.73,2.54,23,57.1,Masculino,3
969,54.68,1.86,18,87.4,Femenino,3
970,65.49,2.7,22,64.9,Masculino,3
971,39.74,1.55,20,77.1,Femenino,3
972,76.97,3.31,20,70.7,Femenino,4
973,47.73,1.83,22,73.3,Femenino,3
974,70.61,2.8,18,85.9,Masculino,6
975,69.11,2.69,24,82.0,Masculino,3
976,50.32,2.02,22,77.8,Masculino,3
977,57.82,2.5,24,83.6,Masculino,5
978,34.31,1.55,16,62.7,Masculino,2
979,66.26,2.56,16,58.0,Masculino,4
980,54.0,2.47,16,78.6,No binario,1
981,36.44,1.55,17,84.9,No binario,1
982,60.27,2.31,20,59.7,Masculino,3
983,76.08,3.14,23,74.2,Femenino,4
984,82.25,3.33,21,90.3,Femenino,6
985,59.32,1.99,17,85.2,Masculino,2
986,56.27,2.17,18,82.0,Femenino,2
987,52.16,2.12,18,82.3,Femenino,6
988,42.74,1.11,20,62.0,Masculino,2
989,65.62,2.96,22,75.3,Masculino,3
990,60.79,2.37,17,80.2,Femenino,2
991,61.26,2.66,19,76.8,Femenino,2
992,53.59,2.18,18,64.2,Masculino,2
993,36.62,1.5,22,61.4,Masculino,3
994,54.25,1.98,17,81.7,Femenino,5
995,46.77,1.98,19,83.7,Femenino,3
996,68.13,2.69,21,75.1,Femenino,6
997,48.52,1.92,17,85.8,Masculino,1
998,47.25,1.76,22,63.6,Masculino,1
999,69.29,2.65,23,87.0,Femenino,3
1000,74.6,3.24,22,86.1,Femenino,2
1001,67.95,2.92,19,97.2,Masculino,4
1002,56.99,2.4,22,71.2,Femenino,6
1003,52.0,2.08,20,77.7,Femenino,1
1004,63.68,2.51,21,82.4,Femenino,3
1005,24.47,1.27,16,65.5,Masculino,2
1006,48.22,1.79,21,65.4,Masculino,1
1007,53.3,2.17,18,75.8,Masculino,6
1008,41.17,1.55,18,85.3,Masculino,5
1009,57.06,2.34,22,56.5,Femenino,2
1010,52.39,2.41,23,65.5,Femenino,4
1011,92.7,3.47,22,74.6,Femenino,5
1012,48.58,2.11,24,53.7,Masculino,2
1013,72.62,3.05,16,64.8,Masculino,1
1014,78.13,2.98,18,74.6,Masculino,2
1015,43.21,1.87,18,72.8,Masculino,3
1016,41.69,1.77,18,76.1,Masculino,1
1017,58.94,2.44,22,74.3,Femenino,2
1018,56.14,2.25,17,91.4,Masculino,2
1019,38.15,1.54,20,68.4,Femenino,4
1020,63.0,2.62,18,75.6,Masculino,5
1021,60.04,2.26,23,85.5,Masculino,4
1022,77.26,3.26,22,80.1,Femenino,4
1023,64.52,2.42,20,69.5,Masculino,6
1024,54.56,2.61,18,77.1,Masculino,3
1025,39.37,1.47,16,88.2,Femenino,1
1026,32.79,1.52,17,82.3,Femenino,2
1027,67.99,2.43,23,83.3,Masculino,2
1028,32.81,1.03,21,67.7,Femenino,3
1029,65.71,2.49,16,80.2,Masculino,4
1030,42.55,1.56,18,76.6,Femenino,3
1031,44.29,2.02,23,91.1,Masculino,3
1032,50.95,2.08,20,73.3,Femenino,3
1033,60.98,1.99,22,77.9,No binario,2
1034,71.11,2.96,19,56.1,Masculino,2
1035,45.72,2.01,22,77.9,Masculino,2
1036,45.19,1.75,20,81.5,Masculino,5
1037,58.53,1.71,18,72.1,Masculino,3
1038,69.64,2.47,17,63.5,Masculino,3
1039,47.99,1.42,16,73.9,Femenino,3
1040,44.78,1.8,20,69.5,Masculino,3
1041,48.03,1.75,18,85.6,Femenino,4
1042,39.9,1.42,18,64.4,Masculino,1
1043,28.9,1.3,24,73.5,Masculino,1
1044,48.07,1.88,22,84.9,Masculino,3
1045,67.1,2.7,16,73.3,Femenino,1
1046,29.91,1.01,17,66.1,Femenino,1
1047,62.66,2.56,20,69.5,Femenino,4
1048,50.43,1.97,16,71.3,Masculino,3
1049,54.96,2.1,23,74.0,Femenino,2
1050,72.36,2.76,18,71.9,Masculino,4
1051,47.05,1.72,19,88.1,Masculino,1
1052,73.47,2.83,23,91.8,Masculino,3
1053,46.88,1.56,17,61.2,Femenino,1
1054,73.59,3.21,18,80.0,Femenino,3
1055,34.18,1.69,17,89.9,Femenino,1
1056,62.37,2.65,19,69.5,No binario,2
1057,53.55,1.79,23,87.3,Masculino,1
1058,67.98,2.56,18,67.9,Masculino,5
1059,36.32,1.17,24,78.6,Masculino,3
1060,68.46,2.95,18,69.5,Femenino,3
1061,50.42,2.09,23,75.8,Masculino,3
1062,55.07,2.48,22,69.1,Femenino,3
1063,50.47,2.09,22,85.0,Masculino,2
1064,63.59,2.53,19,75.5,Femenino,3
1065,65.52,2.63,17,81.3,Femenino,5
1066,39.37,1.62,21,93.3,Masculino,1
1067,46.63,1.74,16,83.4,Femenino,1
1068,53.4,2.43,24,61.4,Masculino,4
1069,66.18,2.43,16,69.4,Femenino,4
1070,41.56,1.97,23,90.2,No binario,1
1071,47.57,2.07,17,78.9,Femenino,2
1072,60.08,2.53,20,74.5,Masculino,5
1073,48.4,1.98,20,70.6,Femenino,1
1074,61.69,2.5,24,83.9,Masculino,3
1075,63.38,2.54,17,73.9,Femenino,3
1076,52.58,2.1,20,72.7,Masculino,6
1077,67.09,2.53,20,69.2,Masculino,3
1078,61.56,2.5,22,73.2,Femenino,3
1079,48.87,2.16,20,54.3,Femenino,2
1080,34.32,1.53,19,93.5,Femenino,3
1081,59.8,2.43,24,59.7,Femenino,4
1082,49.05,2.24,20,66.3,Masculino,2
1083,73.5,3.48,21,58.4,Femenino,2
1084,32.85,1.34,23,76.4,Femenino,2
1085,57.34,2.32,16,74.6,Femenino,4
1086,53.52,1.98,22,80.7,Masculino,2
1087,62.81,2.81,19,66.5,Femenino,1
1088,46.49,1.76,17,88.4,Femenino,1
1089,65.72,2.44,17,69.8,Masculino,2
1090,49.81,1.93,22,62.1,Femenino,3
1091,50.26,1.84,21,82.2,Femenino,2
1092,74.42,3.13,16,80.7,Femenino,2
1093,27.74,1.28,19,85.7,Femenino,1
1094,45.44,1.91,18,83.3,Masculino,2
1095,38.17,1.49,17,70.5,Femenino,6
1096,58.92,2.13,23,82.4,Masculino,3
1097,69.48,2.61,19,64.2,Femenino,4
1098,72.1,3.12,17,61.0,Masculino,4
1099,42.51,1.55,24,93.2,Femenino,1
1100,42.25,1.34,18,59.4,Femenino,4
1101,48.8,1.81,19,97.5,Masculino,3
1102,31.16,1.1,22,81.1,Femenino,1
1103,45.83,2.16,20,69.9,Masculino,2
1104,74.81,2.89,19,57.0,Masculino,4
1105,49.68,1.9,16,75.8,Femenino,4
1106,50.92,1.61,19,68.3,Masculino,3
1107,47.47,1.94,18,61.3,Masculino,1
1108,63.81,2.71,17,75.8,Masculino,3
1109,50.74,1.98,18,65.3,Femenino,3
1110,68.06,2.75,19,57.8,Femenino,6
1111,49.56,1.89,24,60.5,Femenino,1
1112,54.64,2.35,20,70.1,No binario,3
1113,66.45,3.21,19,75.2,Masculino,1
1114,72.27,2.86,23,61.9,Femenino,3
1115,48.37,1.99,24,59.1,Masculino,3
1116,45.91,1.79,21,80.9,Masculino,3
1117,46.18,1.67,17,89.0,Masculino,3
1118,37.58,1.48,21,66.1,Femenino,4
1119,51.02,2.04,22,86.8,Masculino,1
1120,37.74,1.51,24,65.6,Masculino,4
1121,50.28,1.93,17,94.4,Femenino,2
1122,56.38,2.53,23,71.5,Femenino,4
1123,47.3,1.74,18,84.2,Masculino,2
1124,44.42,1.88,17,66.7,Masculino,2
1125,60.51,2.6,23,80.7,Femenino,4
1126,48.11,1.95,16,77.7,Masculino,1
1127,53.73,2.37,17,69.4,Masculino,1
1128,52.83,2.29,21,76.1,Masculino,1
1129,66.63,2.65,23,63.7,Masculino,3
1130,52.42,2.16,17,75.1,Femenino,4
1131,49.15,1.78,24,83.7,No binario,1
1132,32.27,0.84,17,63.9,Masculino,2
1133,65.98,2.7,19,87.6,Masculino,4
1134,42.71,1.57,18,56.2,Masculino,2
1135,49.14,1.97,20,78.9,Masculino,2
1136,57.32,2.35,21,79.6,Masculino,4
1137,81.93,3.41,24,85.7,Masculino,3
1138,58.71,2.64,22,91.4,Masculino,5
1139,65.39,2.62,18,77.0,Femenino,6
1140,37.55,1.29,22,73.3,Masculino,1
1141,58.85,2.54,19,74.9,Femenino,4
1142,40.12,1.76,22,90.2,No binario,1
1143,48.93,2.2,16,61.6,Masculino,3
1144,41.25,1.29,23,69.8,Femenino,1
1145,42.97,1.66,21,69.0,Femenino,3
1146,68.18,2.47,21,76.7,Femenino,5
1147,67.77,2.87,16,64.5,Masculino,2
1148,26.16,1.1,23,70.7,Femenino,2
1149,61.16,2.64,22,77.3,Femenino,3
1150,40.77,1.73,17,84.0,Femenino,1
1151,66.02,2.63,16,70.7,Masculino,6
1152,55.66,2.29,19,91.3,Masculino,4
1153,63.13,2.55,20,69.3,Masculino,3
1154,60.23,2.29,23,92.3,Masculino,3
1155,47.14,1.93,17,86.6,Femenino,1
1156,53.85,1.98,18,73.7,Masculino,2
1157,70.27,2.89,20,78.5,Femenino,4
1158,62.54,2.53,21,77.2,Masculino,3
1159,59.14,2.52,16,92.3,Femenino,3
1160,39.29,1.36,20,64.7,Masculino,4
1161,58.93,2.16,16,87.8,Masculino,4
1162,51.72,2.08,20,69.8,Femenino,3
1163,56.41,2.13,20,59.9,Masculino,1
1164,57.24,2.12,22,58.8,Femenino,5
1165,53.92,2.31,19,80.9,Masculino,4
1166,35.97,1.65,17,77.5,Masculino,3
1167,71.88,3.13,19,84.1,Masculino,4
1168,57.74,2.12,21,96.1,Femenino,5
1169,57.78,2.25,16,72.3,Femenino,5
1170,44.61,1.78,16,71.4,Femenino,1
1171,56.91,2.01,17,60.7,Femenino,3
1172,52.14,2.04,24,87.6,Femenino,3
1173,54.6,2.32,22,77.5,Masculino,3
1174,58.29,2.01,21,38.6,Femenino,2
1175,46.89,2.16,24,76.1,Masculino,5
1176,55.73,2.47,18,80.3,Masculino,1
1177,45.75,1.91,24,70.7,Femenino,1
1178,39.38,1.87,16,90.2,Femenino,2
1179,66.18,2.77,24,71.4,Femenino,6
1180,44.6,1.98,18,66.7,Femenino,4
1181,40.78,1.51,18,53.5,Masculino,2
1182,65.89,2.52,22,64.2,Masculino,4
1183,62.63,2.05,16,81.1,Masculino,1
1184,47.21,2.15,19,68.2,Masculino,3
1185,44.37,1.39,18,66.3,Masculino,1
1186,57.68,2.53,17,64.3,Femenino,3
1187,44.48,1.82,20,87.6,Masculino,1
1188,53.88,2.05,21,71.0,Masculino,1
1189,41.55,1.54,19,77.3,Masculino,1
1190,46.98,1.81,23,85.6,Femenino,3
1191,42.9,1.42,21,71.2,Masculino,1
1192,67.75,2.8,23,85.2,Femenino,2
1193,64.72,3.18,21,69.4,Masculino,5
1194,63.31,2.35,23,70.8,Masculino,4
1195,77.47,2.99,22,72.3,Masculino,4
1196,45.4,1.8,16,83.1,Femenino,3
1197,70.72,2.35,23,86.9,Femenino,6
1198,62.64,2.82,22,64.7,Masculino,4
1199,23.92,0.66,17,68.8,Masculino,3
1200,67.87,2.69,24,86.2,Masculino,3
1201,41.85,1.75,18,74.5,Masculino,4
1202,47.22,2.04,16,67.0,Femenino,2
1203,45.75,1.79,22,86.5,Femenino,5
1204,58.29,2.28,24,70.5,Femenino,2
1205,62.19,2.61,21,81.9,No binario,3
1206,63.27,2.44,24,77.8,Masculino,5
